VARIABLES = "X"
 "Y"
 "Z"
 "RHO"
 "U"
 "V"
 "W"
 "VelocityMagnitude"
 "Mach"
 "P"
 "P_tot"
 "Vislam"
 "SkinFrictionCoefficient"
 "T"
 "H0"
 "COND_TURB"
 "CP"
 "COND_eff"
 "D"
 "K"
 "VIS_T"
 "YPLUS"
ZONE
DT=(DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE)
      0.112056028014007                    0.15                       0        1.11235434452017                       0                       0                       0                       0                       0       -4479.72477864909       -4008.36972954251   1.83975758985177E-005      0.0205963062809192          299.5300298312        301626.745216358      0.0590109528024206                    1007      0.0853109546918879         7763152.3074037                       0   5.27406730103538E-005        6.63028811812103 
      0.116058029014507                    0.15                       0        1.11234212792355                       0                       0                       0                       0                       0       -4480.36724074928       -4013.60145746701   1.83976364001617E-005      0.0204592920819287        299.531319217959        301628.037456228      0.0588670215583879                    1007      0.0851670234478552        7706681.05052527                       0   5.26120356139102E-005        6.61411548746175 
      0.120060030015008                    0.15                       0        1.11232991132693                       0                       0                       0                       0                       0       -4481.00970284947       -4018.83318539152   1.83976969018058E-005      0.0203222778829382        299.532608604717        301629.329696098      0.0587230903143553                    1007      0.0850230922038225        7650209.79364683                       0   5.24833982174666E-005        6.59794285680247 
      0.124062031015508                    0.15                       0         1.1123191079478                       0                       0                       0                       0                       0       -4481.57084303871       -4023.40982014445   1.83977516179898E-005      0.0202012851754164        299.533756807603         301630.48639945      0.0585942337491651                    1007      0.0848942345614848        7600393.63281641                       0   5.23682325277106E-005        6.58347049911598 
      0.128064032016008                    0.15                       0        1.11230835591393                       0                       0                       0                       0                       0       -4482.12902862564       -4027.96265393439   1.83978061239754E-005      0.0200808745636053        299.534899880971        301631.638178464       0.058465924879919                    1007      0.0847659245759562        7550819.26613307                       0    5.2253556294426E-005        6.56905991605308 
      0.132066033016508                    0.15                       0        1.11229760388006                       0                       0                       0                       0                       0       -4482.68721421257       -4032.51548772433    1.8397860629961E-005      0.0199604639517942        299.536042954339        301632.789957479      0.0583376160106729                    1007      0.0846376145904275        7501244.89944973                       0   5.21388800611414E-005        6.55464933299017 
      0.136068034017009                    0.15                       0         1.1122875917906                       0                       0                       0                       0                       0       -4483.20278474198       -4036.73011041654   1.83979117145359E-005      0.0198483857726413        299.537117145609        301633.871201226      0.0582172608430711                    1007      0.0845172590072481         7455129.3941971                       0   5.20313135194661E-005        6.54113511409445 
      0.140070035017509                    0.15                       0        1.11227801855115                       0                       0                       0                       0                       0       -4483.69308091546       -4040.74414514386   1.83979607699229E-005      0.0197412494351978        299.538150483933        301634.910611556      0.0581016228974551                    1007      0.0844016210616321        7411065.28814408                       0   5.19279636299952E-005        6.52815251543619 
      0.144072036018009                    0.15                       0        1.11226844531169                       0                       0                       0                       0                       0       -4484.18337708894       -4044.75817987118     1.839800982531E-005      0.0196341130977544        299.539183822258        301635.950021886      0.0579859849518391                    1007      0.0842859831160161        7367001.18209105                       0   5.18246137405243E-005        6.51516991677792 
      0.148074037018509                    0.15                       0        1.11225917298774                       0                       0                       0                       0                       0       -4484.65748010724       -4048.64536821633   1.83980574557159E-005      0.0195301229161224         299.54018794065        301636.962231116      0.0578733895602019                    1007      0.0841733880486412         7324242.2066033                       0   5.17239830318333E-005         6.5025300297396 
       0.15207603801901                    0.15                       0        1.11225063565852                       0                       0                       0                       0                       0       -4485.09203087872       -4052.22273062801   1.83981016055642E-005      0.0194338173104665        299.541120688518        301637.908000875      0.0577682256940874                    1007      0.0840682252988093        7284671.05002501                       0   5.16299940003343E-005        6.49072722568102 
       0.15607803901951                    0.15                       0         1.1122420983293                       0                       0                       0                       0                       0        -4485.5265816502       -4055.80009303968   1.83981457554126E-005      0.0193375117048107        299.542053436386        301638.853770635      0.0576630618279728                    1007      0.0839630625489773        7245099.89344673                       0   5.15360049688354E-005        6.47892442162243 
       0.16008004002001                    0.15                       0        1.11223356100009                       0                       0                       0                       0                       0       -4485.96113242168       -4059.37745545136   1.83981899052609E-005      0.0192412060991548        299.542986184254        301639.799540395      0.0575578979618583                    1007      0.0838578997991454        7205528.73686844                       0   5.14420159373364E-005        6.46712161756385 
       0.16408204102051                    0.15                       0        1.11222584090154                       0                       0                       0                       0                       0       -4486.35146992442       -4062.61150252861   1.83982309376217E-005      0.0191534702424305        299.543849195105        301640.664973112      0.0574611192229034                    1007      0.0837611200482682        7169509.54877439                       0   5.13555192676837E-005         6.4562623063107 
