VARIABLES = "X"
 "Y"
 "Z"
 "RHO"
 "U"
 "V"
 "W"
 "VelocityMagnitude"
 "Mach"
 "P"
 "P_tot"
 "Vislam"
 "SkinFrictionCoefficient"
 "T"
 "H0"
 "COND_TURB"
 "CP"
 "COND_eff"
 "D"
 "K"
 "VIS_T"
 "YPLUS"
ZONE
DT=(DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE)
      0.080040020010005                    0.15                       0        1.11265610986617                       0                       0                       0                       0                       0       -4471.56592676221       -4113.55438998796   1.83949363037564E-005     0.00631889629095285        299.474386897428        301570.710777264      0.0074440545244995                    1007      0.0337440550137216        7251265.06553276                       0   6.65307748707051E-006        7.22464047747293 
     0.0840420210105053                    0.15                       0        1.11263521669387                       0                       0                       0                       0                       0       -4472.55905662792       -4119.03499063985    1.8395055129535E-005     0.00626968061658607        299.476894911079        301573.241308154     0.00740113135184039                    1007      0.0337011318443238        7192457.12756378                       0   6.61471517844489E-006        7.19616284878508 
     0.0880440220110055                    0.15                       0        1.11261442704699                       0                       0                       0                       0                       0       -4473.54696464443       -4124.48545708401   1.83951734075238E-005     0.00622071013676413        299.479391383314        301575.760239495     0.00735838554278687                    1007      0.0336583860352702        7133908.84792396                       0   6.57651138805766E-006        7.16781577233853 
     0.0920460230115058                    0.15                       0        1.11259363740012                       0                       0                       0                       0                       0       -4474.53487266094       -4129.93592352817   1.83952916855126E-005     0.00617173965694219        299.481887855549        301578.279170835     0.00731563973373334                    1007      0.0336156402262167        7075360.56828414                       0   6.53830759767043E-006        7.13946869589198 
      0.096048024012006                    0.15                       0        1.11257488051315                       0                       0                       0                       0                       0       -4475.42136962036        -4134.8144091577   1.83953991596689E-005     0.00612754541346286        299.484156293234        301580.558607429     0.00727668143888043                    1007      0.0335766815744888        7022290.01250625                       0   6.50348889196622E-006        7.11369851948679 
      0.100050025012506                    0.15                       0        1.11255727003908                       0                       0                       0                       0                       0       -4476.25067392095       -4139.37031552886   1.83955005408022E-005     0.00608604481763366        299.486296126579        301582.702976488     0.00723985918336783                    1007      0.0335398587608349        6972308.72136068                       0   6.47057926796313E-006        7.08938163396655 
      0.104052026013007                    0.15                       0          1.112539659565                       0                       0                       0                       0                       0       -4477.07997822153       -4143.92622190001   1.83956019219354E-005     0.00604454422180446        299.488435959923        301584.847345548     0.00720303692785522                    1007       0.033503035947181         6922327.4302151                       0   6.43766964396005E-006         7.0650647484463 
      0.108054027013507                    0.15                       0        1.11252279386573                       0                       0                       0                       0                       0       -4477.87280798602       -4148.28207096713   1.83956993502473E-005     0.00600473762603067        299.490490133372        301586.909657954      0.0071676214129616                    1007      0.0334676200427998         6874359.9112056                       0   6.40601726421197E-006        7.04167285163501 
      0.112056028014007                    0.15                       0        1.11250764814361                       0                       0                       0                       0                       0       -4478.58140373898       -4152.17590924369    1.8395787649944E-005     0.00596884314088209        299.492346484522         301588.78246936     0.00713545461397258                    1007      0.0334354532438108        6831042.98199099                       0   6.37726835462188E-006        7.02041711659357 
      0.116058029014507                    0.15                       0        1.11249250242148                       0                       0                       0                       0                       0       -4479.28999949193       -4156.06974752025   1.83958759496408E-005     0.00593294865573352        299.494202835671        301590.655280765     0.00710328781498357                    1007      0.0334032864448218        6787726.05277639                       0   6.34851944503179E-006        6.99916138155214 
      0.120060030015008                    0.15                       0        1.11247735669936                       0                       0                       0                       0                       0       -4479.99859524489       -4159.96358579681   1.83959642493375E-005     0.00589705417058494         299.49605918682        301592.528092171     0.00707112101599455                    1007      0.0333711196458328        6744409.12356179                       0    6.3197705354417E-006         6.9779056465107 
      0.124062031015508                    0.15                       0        1.11246407228807                       0                       0                       0                       0                       0       -4480.61556266414       -4163.36525709144   1.83960420300159E-005     0.00586536877381878        299.497694938167        301594.184045148     0.00704254206058464                    1007      0.0333425408250663        6706183.74112056                       0   6.29422821708093E-006        6.95897241375815 
      0.128064032016008                    0.15                       0        1.11245085550225                       0                       0                       0                       0                       0       -4481.22920102629       -4166.74904688672   1.83961194285155E-005     0.00583383630240908        299.499322674643        301595.832119185      0.0070140934593532                    1007      0.0333140923633702        6668143.34567284                       0   6.26880240116967E-006        6.94012356257666 
      0.132066033016508                    0.15                       0        1.11243763871644                       0                       0                       0                       0                       0       -4481.84283938844       -4170.13283668201   1.83961968270151E-005     0.00580230383099937        299.500950411119        301597.480193222     0.00698564485812177                    1007      0.0332856439016741        6630102.95022512                       0   6.24337658525841E-006        6.92127471139516 
      0.136068034017009                    0.15                       0        1.11242540852316                       0                       0                       0                       0                       0       -4482.40862765367       -4173.26295667365   1.83962687512575E-005     0.00577295896037668        299.502469084274        301599.010708479     0.00695909262719141                    1007      0.0332590915475147        6594732.73786894                       0   6.21964573624958E-006        6.90364439169009 
      0.140070035017509                    0.15                       0        1.11241376346323                       0                       0                       0                       0                       0       -4482.94603673907        -4176.2426288828   1.83963374287994E-005     0.00574491152319948        299.503923073597        301600.471501376      0.0069336651052428                    1007      0.0332336637464954        6560946.17133567                       0   6.19692014686638E-006        6.88673676485536 
      0.144072036018009                    0.15                       0        1.11240211840329                       0                       0                       0                       0                       0       -4483.48344582448       -4179.22230109195   1.83964061063412E-005     0.00571686408602227        299.505377062921        301601.932294272     0.00690823758329419                    1007      0.0332082359454762         6527159.6048024                       0   6.17419455748318E-006        6.86982913802063 
