VARIABLES = "X"
 "Y"
 "Z"
 "RHO"
 "U"
 "V"
 "W"
 "VelocityMagnitude"
 "Mach"
 "P"
 "P_tot"
 "Vislam"
 "SkinFrictionCoefficient"
 "T"
 "H0"
 "COND_TURB"
 "CP"
 "COND_eff"
 "D"
 "K"
 "VIS_T"
 "YPLUS"
ZONE
DT=(DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE)
     0.0920460230115058                    0.15                       0        1.11664214367983                       0                       0                       0                       0                       0       -4098.58991141078       -3662.57729792631   1.83994918212205E-005      0.0194282389062831        299.570442249323        301667.424243372       0.057925009826993                    1007      0.0842250113139276        7258219.05502751                       0   5.17701179790899E-005        6.50845741545814 
      0.096048024012006                    0.15                       0         1.1166278354641                       0                       0                       0                       0                       0       -4099.39745141125       -3668.44378793401   1.83995541809817E-005      0.0192742620246776        299.571754413584        301668.751782141      0.0577562959038239                    1007      0.0840562970795412        7195265.20785392                       0    5.1619331078991E-005        6.48949234410487 
      0.100050025012506                    0.15                       0        1.11661426146785                       0                       0                       0                       0                       0       -4100.16032943229       -3673.93514897097   1.83996135925061E-005       0.019129627522616        299.573007221995        301670.025293897      0.0575966373544415                    1007      0.0838966374138762         7136160.0290145                       0   5.14766376789734E-005        6.47155152182987 
      0.104052026013007                    0.15                       0        1.11660068747161                       0                       0                       0                       0                       0       -4100.92320745334       -3679.42651000793   1.83996730040304E-005      0.0189849930205543        299.574260030406        301671.298805653      0.0574369788050592                    1007      0.0837369777482113        7077054.85017508                       0   5.13339442789558E-005        6.45361069955487 
      0.108054027013507                    0.15                       0        1.11658758840423                       0                       0                       0                       0                       0       -4101.65827640383       -3684.68343925381   1.83997306038449E-005      0.0188462728668953        299.575474153703        301672.527044772      0.0572831657933646                    1007       0.083583164294849        7020385.15807904                       0   5.11964748618137E-005         6.4363295966354 
      0.112056028014007                    0.15                       0        1.11657558613386                       0                       0                       0                       0                       0       -4102.32912330188       -3689.39897353462   1.83997840197109E-005       0.018721211263691        299.576598937897        301673.650731616      0.0571428524211921                    1007      0.0834428520389591        6969339.96023011                       0   5.10710696703179E-005        6.42057204449278 
      0.116058029014507                    0.15                       0         1.1165635838635                       0                       0                       0                       0                       0       -4102.99997019994       -3694.11450781543   1.83998374355768E-005      0.0185961496604867        299.577723722091        301674.774418459      0.0570025390490196                    1007      0.0833025397830692        6918294.76238119                       0   5.09456644788221E-005        6.40481449235017 
      0.120060030015008                    0.15                       0        1.11655158159314                       0                       0                       0                       0                       0         -4103.670817098       -3698.83004209624   1.83998908514427E-005      0.0184710880572823        299.578848506284        301675.898105303      0.0568622256768472                    1007      0.0831622275271793        6867249.56453227                       0   5.08202592873263E-005        6.38905694020755 
      0.124062031015508                    0.15                       0        1.11654082019667                       0                       0                       0                       0                       0       -4104.27347218531       -3702.96820492766   1.83999384818486E-005      0.0183607564457301        299.579849754589        301676.913362931      0.0567367155423547                    1007       0.083036717431822        6822266.71635818                       0   5.07080859689018E-005        6.37496850131571 
      0.128064032016008                    0.15                       0        1.11653010388384                       0                       0                       0                       0                       0       -4104.87364971548       -3707.08539059569   1.83999859020561E-005       0.018250960006885        299.580846514566        301677.924681091      0.0566117432417573                    1007      0.0829117451312245        6777504.12656329                       0   5.05963933932705E-005        6.36094070494682 
      0.132066033016508                    0.15                       0        1.11651938757102                       0                       0                       0                       0                       0       -4105.47382724565       -3711.20257626372   1.84000333222636E-005      0.0181411635680399        299.581843274543         301678.93599925      0.0564867709411598                    1007       0.082786772830627        6732741.53676839                       0   5.04847008176393E-005        6.34691290857793 
